## MOW 0.1.3	mya	CC BY 4.0
00001740-v	mya:lemma	ရှူ
00005815-v	mya:lemma	ချောင်းဆိုး
00007328-v	mya:lemma	သမ်း
00007846-n	mya:lemma	မနုဿ
00007846-n	mya:lemma	လူ
00007846-n	mya:lemma	ပုဂ္ဂိုလ်
00013887-a	mya:lemma	များ
00014742-v	mya:lemma	အိပ်
00015388-n	mya:lemma	တိရစ္ဆာန်
00015480-a	mya:lemma	မို
00017222-n	mya:lemma	အပင်
00017445-r	mya:lemma	တောင်
00019613-n	mya:lemma	ဒြပ်
00021265-n	mya:lemma	စာ
00021265-n	mya:lemma	အစာ
00023271-n	mya:lemma	ပညာ
00024073-r	mya:lemma	ဘူး
00026153-v	mya:lemma	တက်
00031068-v	mya:lemma	ကြွက်တက်
00031820-v	mya:lemma	ရယ်
00040365-r	mya:lemma	နောက်တဖန်
00048739-r	mya:lemma	ရုတ်ခြည်း
00048739-r	mya:lemma	ဒက်ခနဲ
00048739-r	mya:lemma	ချက်ခနဲ
00048739-r	mya:lemma	ချက်ချင်း
00050652-v	mya:lemma	စွပ်
00053691-a	mya:lemma	ပျစ်
00057257-r	mya:lemma	ဘယ်ပြန်ညာပြန်
00057388-r	mya:lemma	ဘယ်ပြန်ညာပြန်
00064487-v	mya:lemma	နှိပ်
00066191-v	mya:lemma	ငို
00076400-v	mya:lemma	အန်
00076400-v	mya:lemma	အန်
00077645-a	mya:lemma	ကြောက်
00077645-a	mya:lemma	ကြောက်လန့်
00101956-v	mya:lemma	ထွေး
00110815-r	mya:lemma	အတွင်း
00116376-n	mya:lemma	မ
00123170-v	mya:lemma	ပြင်
00126264-v	mya:lemma	ပြင်
00143204-v	mya:lemma	လိပ်
00145571-r	mya:lemma	စို့စို့ပို့ပို့
00147876-r	mya:lemma	အလွယ်
00149510-r	mya:lemma	စင်စစ်
00149510-r	mya:lemma	တကယ်
00149510-r	mya:lemma	နှင်နှင်
00149510-r	mya:lemma	ဆတ်ဆတ်
00153263-v	mya:lemma	ကြီး
00154608-v	mya:lemma	ဆင်
00155143-v	mya:lemma	ကြီး
00163233-n	mya:lemma	အကြံ
00163779-n	mya:lemma	အချိန်းအချက်
00164150-r	mya:lemma	ကပြက်ကချော်
00164150-r	mya:lemma	ကရော်ကမည်
00167934-v	mya:lemma	ပြုပြင်
00181781-n	mya:lemma	ရွေးကောက်ပွဲ
00182406-v	mya:lemma	ဖြည့်
00182406-v	mya:lemma	စွက်
00199659-v	mya:lemma	ပြုပြင်
00199912-v	mya:lemma	ပြုပြင်
00207366-r	mya:lemma	ယနေ့
00210848-a	mya:lemma	ဆံပင်မရှိဘူး
00217152-v	mya:lemma	ရေကြီး
00220522-n	mya:lemma	လူသတ်မှု
00225971-r	mya:lemma	နည်းနည်းနောနော
